"'Allowance' column title","'ค่าเผื่อ' ชื่อคอลัมน์"
"'Attribute 1' column","'แอตทริบิวต์ 1' คอลัมน์"
"'Attribute 2' column","'แอตทริบิวต์ 2' คอลัมน์"
"'Attribute 3' column","'แอตทริบิวต์ 3' คอลัมน์"
"'Attribute 4' column","'แอตทริบิวต์ 4' คอลัมน์"
"'Attribute Combine' column","'แอตทริบิวต์รวมคอลัมน์"
"'Product barcode' column","'บาร์โค้ดสินค้า' คอลัมน์"
"'Product images' column","คอลัมน์ 'ภาพสินค้า'"
"'Product name' column","ชื่อสินค้า 'คอลัมน์"
"'Product weight' column","'น้ำหนักสินค้า' คอลัมน์"
"'Qty' column","คอลัมน์ 'จำนวน'"
"'ship-address' and 'bill-address' column format","'เรือที่อยู่' และ 'การเรียกเก็บเงินที่อยู่' รูปแบบคอลัมน์"
"'ship-address' and' bill-address' column format","'เรือที่อยู่' และ 'การเรียกเก็บเงินที่อยู่' รูปแบบคอลัมน์"
"'SKU' column","คอลัมน์ 'SKU'"
"'Stock qty' column","'การแจ้งจำนวนคอลัมน์"
"'Stock warning' column","'คำเตือนการแจ้ง' คอลัมน์"
"'Tick boxes' next to item SKUs?","'กล่อง Tick' ถัดจากรายการ SKUs?"
"'Tickbox 2nd' column","คอลัมน์ "ช่องทำเครื่องหมายที่ 2 '"
"'Tickbox' column","คอลัมน์ "ช่องทำเครื่องหมาย '"
"'Warehouse' column","คอลัมน์ 'คลังสินค้า'"
"(%) Default is 100%","(%) เริ่มต้นคือ 100%"
"(Attribute must exist)","(Attribute ต้องมีอยู่)"
"(Default : "Total Price Col" X-Pos)","(ค่าเริ่มต้น: "ราคารวม Col" X-POS)"
"(Default:No)","(ค่าเริ่มต้น: ไม่มี)"
"(Default:Yes)","(ค่าเริ่มต้น: ใช่)"
"(negative to shift it down)","(เชิงลบที่จะเปลี่ยนมันลง)"
"(standard for invoices)","(มาตรฐานสำหรับใบแจ้งหนี้)"
"(Tip: Upload placeholder images in Config > Catalog)","(เคล็ดลับ: อัปโหลดภาพตัวยึดใน Config> แคตตาล็อก)"
"(Upload placeholder images in Config > Catalog)","(อัปโหลดภาพตัวยึดใน Config> แคตตาล็อก)"
"(Used if 'Position of shelving info' set to 'Columns')","(ใช้ในกรณีที่ 'ตำแหน่งของข้อมูลเก็บเข้าลิ้นชัก' ตั้ง 'คอลัมน์')"
"['Payment due ']","[ 'ชำระเงินเนื่องจาก']"
"[#000000] (#HEX colour code)","[# 000000] (#HEX รหัสสี)"
"[#111111] (#HEX colour code)","[# 111111] (#HEX รหัสสี)"
"[#5BA638] (#HEX colour code)","[# 5BA638] (#HEX รหัสสี)"
"[#87CEEB] (#HEX colour code)","[# 87CEEB] (#HEX รหัสสี)"
"[#8AC371] (#HEX colour code)","[# 8AC371] (#HEX รหัสสี)"
"[#FFFFFF] (#HEX colour code)","[#FFFFFF] (รหัสสี #HEX)"
"[10] (negative to shift it down)","[10] (ลบที่จะเปลี่ยนมันลง)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (ลบที่จะเปลี่ยนมันลง) <br /> (ทำเกี่ยวกับความสูงของภาพครึ่งหนึ่งไปยังศูนย์ข้อความ) <br /> (ถ้าคุณต้องแสดงตัวเลือกอาจไม่เปลี่ยน)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5PT (บน / ล่าง) 5PT (ซ้าย / ขวา)"
"[15pt] - Set larger to print a larger barcode","[15pt] - ตั้งขนาดใหญ่ในการพิมพ์บาร์โค้ดที่มีขนาดใหญ่"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - ตั้งค่าการเช่นเดียวกับ Sku X-Pos การพิมพ์บาร์โค้ดภายใต้ Sku"
"[blank]","[ว่าง]"
"[Default = No]","[ค่าเริ่มต้น = No]"
"[Equal]","[เท่ากัน]"
"[Invoice then Packing Sheet]","[ใบแจ้งหนี้แล้วบรรจุแผ่น]"
"[Italic]","[ตัวเอียง]"
"[More than]","[มากกว่า]"
"[No]","[ไม่มี]"
"[No] : Default","[ไม่มี]: เริ่มต้น"
"[No] (No = Word-wrap)","[ไม่มี] (ไม่ = คำห่อ)"
"[No] If set to yes, gift messages will print with this font.","[ไม่มี] หากการตั้งค่าใช่ข้อความที่ระลึกจะพิมพ์ด้วยตัวอักษรนี้"
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[บรรจุแผ่นใบแจ้งหนี้แล้ว]"
"[Partially: Lines top &amp; bottom]","[บางส่วน: เส้นด้านบน & amp; ด้านล่าง]"
"[price]","[ราคา]"
"[qty]","[จำนวน]"
"[Regular]","[ปกติ]"
"[sku]","[SKU]"
"[stock]","[หุ้น]"
"[Yes (from Magento)]","[ใช่ (จากวีโอไอพี)]"
"[Yes]","[ใช่]"
"[Yes] : Default;","[ใช่]: เริ่มต้น;"
"[Yes] (Adds 'Included' to tax label)","[Yes] (เพิ่ม 'รวม' กับป้ายกำกับภาษี)"
"[Yes] (No = Word-wrap)","[Yes] (ไม่ = คำห่อ)"
